receipt_no,title,category,department,assignee,status,priority,channel,region,satisfaction,received_at,due_at,completed_at
2026-102725,체육시설 예약,문화/체육,문화체육과,박주무관,완료,보통,온라인,용인시,,2026-04-16 01:08:20,2026-04-21 01:08:20,2026-04-19 01:08:20
2026-100769,불법 주정차 신고,도로/교통,도로관리과,박주무관,완료,보통,전화,오산시,4,2026-04-16 04:23:09,2026-04-23 04:23:09,2026-04-18 04:23:09
2026-100020,도로 파손 신고,도로/교통,도로관리과,조주무관,완료,보통,이메일,수원시,2,2026-04-16 06:32:05,2026-04-23 06:32:05,2026-04-28 06:32:05
2026-100077,불법 주정차 신고,도로/교통,도로관리과,조주무관,처리중,낮음,방문,하남시,,2026-04-16 07:22:37,2026-04-23 07:22:37,
2026-100808,도로 파손 신고,도로/교통,도로관리과,정주무관,완료,보통,전화,성남시,5,2026-04-16 08:13:01,2026-04-23 08:13:01,2026-04-21 08:13:01
2026-102160,건축허가 문의,건축/주택,건축과,강주무관,완료,보통,방문,김포시,,2026-04-16 09:02:41,2026-04-28 09:02:41,2026-05-02 09:02:41
2026-101564,행정서류 재발급,행정,민원행정과,최주무관,완료,보통,방문,수원시,,2026-04-16 09:18:07,2026-04-19 09:18:07,2026-04-17 09:18:07
2026-100234,장애인 편의 요청,복지,사회복지과,김주무관,완료,낮음,온라인,수원시,3,2026-04-16 10:06:57,2026-04-22 10:06:57,2026-04-23 10:06:57
2026-101447,건축허가 문의,건축/주택,건축과,정주무관,처리중,보통,온라인,고양시,,2026-04-16 10:11:04,2026-04-28 10:11:04,
2026-100664,불법 주정차 신고,도로/교통,도로관리과,이주무관,처리중,보통,이메일,광명시,,2026-04-16 10:40:34,2026-04-23 10:40:34,
2026-101487,주택 누수 하자,건축/주택,건축과,정주무관,접수,보통,방문,오산시,,2026-04-16 11:03:19,2026-04-28 11:03:19,
2026-101724,복지급여 문의,복지,사회복지과,박주무관,접수,보통,온라인,수원시,,2026-04-16 11:12:15,2026-04-22 11:12:15,
2026-100416,화재위험 신고,안전,안전총괄과,이주무관,처리중,높음,전화,고양시,,2026-04-16 11:35:34,2026-04-24 11:35:34,
2026-100721,복지급여 문의,복지,사회복지과,정주무관,처리중,보통,온라인,수원시,,2026-04-16 11:38:15,2026-04-22 11:38:15,
2026-102519,증명서 발급 문의,행정,민원행정과,조주무관,완료,보통,방문,안양시,5,2026-04-16 12:01:20,2026-04-19 12:01:20,2026-04-18 12:01:20
2026-102595,신호등 고장 신고,도로/교통,도로관리과,조주무관,완료,낮음,전화,수원시,5,2026-04-16 15:16:37,2026-04-23 15:16:37,2026-04-25 15:16:37
2026-102247,노인돌봄 신청,복지,사회복지과,조주무관,완료,높음,온라인,성남시,5,2026-04-16 16:36:23,2026-04-22 16:36:23,2026-04-26 16:36:23
2026-102927,민원처리 지연 항의,행정,민원행정과,강주무관,완료,보통,온라인,수원시,5,2026-04-16 16:41:15,2026-04-19 16:41:15,2026-04-19 16:41:15
2026-103626,악취 발생 신고,환경,환경관리과,박주무관,완료,낮음,전화,수원시,5,2026-04-16 17:47:30,2026-04-25 17:47:30,2026-04-28 17:47:30
2026-102530,도서관 운영 건의,문화/체육,문화체육과,최주무관,완료,보통,이메일,광주시,,2026-04-16 18:28:49,2026-04-21 18:28:49,2026-04-24 18:28:49
2026-103153,소음 공해 민원,환경,환경관리과,김주무관,완료,높음,전화,동두천시,1,2026-04-16 19:57:46,2026-04-25 19:57:46,2026-05-04 19:57:46
2026-100607,악취 발생 신고,환경,환경관리과,조주무관,완료,보통,온라인,수원시,2,2026-04-16 22:19:18,2026-04-25 22:19:18,2026-04-25 22:19:18
2026-102799,소음 공해 민원,환경,환경관리과,정주무관,처리중,보통,온라인,화성시,,2026-04-17 07:10:48,2026-04-26 07:10:48,
2026-103960,소음 공해 민원,환경,환경관리과,조주무관,반려,보통,전화,광명시,,2026-04-17 07:38:06,2026-04-26 07:38:06,
2026-100375,쓰레기 무단투기,환경,환경관리과,정주무관,처리중,보통,온라인,용인시,,2026-04-17 07:59:56,2026-04-26 07:59:56,
2026-100019,도서관 운영 건의,문화/체육,문화체육과,김주무관,반려,보통,방문,양주시,,2026-04-17 09:13:03,2026-04-22 09:13:03,
2026-100965,장애인 편의 요청,복지,사회복지과,이주무관,완료,보통,이메일,의정부시,1,2026-04-17 09:44:10,2026-04-23 09:44:10,2026-04-26 09:44:10
2026-102839,악취 발생 신고,환경,환경관리과,최주무관,반려,보통,방문,김포시,,2026-04-17 11:26:13,2026-04-26 11:26:13,
2026-101094,신호등 고장 신고,도로/교통,도로관리과,강주무관,처리중,낮음,전화,이천시,,2026-04-17 13:55:29,2026-04-24 13:55:29,
2026-103629,민원처리 지연 항의,행정,민원행정과,박주무관,완료,낮음,전화,광명시,3,2026-04-17 14:26:13,2026-04-20 14:26:13,2026-04-19 14:26:13
2026-100192,증명서 발급 문의,행정,민원행정과,이주무관,처리중,높음,온라인,수원시,,2026-04-17 15:20:23,2026-04-20 15:20:23,
2026-103032,소음 공해 민원,환경,환경관리과,조주무관,완료,보통,전화,의정부시,3,2026-04-17 16:35:48,2026-04-26 16:35:48,2026-04-24 16:35:48
2026-103066,민원처리 지연 항의,행정,민원행정과,조주무관,반려,보통,이메일,부천시,,2026-04-17 16:43:03,2026-04-20 16:43:03,
2026-102464,체육시설 예약,문화/체육,문화체육과,김주무관,처리중,높음,온라인,연천군,,2026-04-17 17:40:25,2026-04-22 17:40:25,
2026-103184,소음 공해 민원,환경,환경관리과,강주무관,완료,보통,이메일,용인시,2,2026-04-18 09:16:07,2026-04-27 09:16:07,2026-05-04 09:16:07
2026-103453,도로 파손 신고,도로/교통,도로관리과,윤주무관,완료,낮음,온라인,안양시,3,2026-04-18 11:37:33,2026-04-25 11:37:33,2026-05-02 11:37:33
2026-100584,건축허가 문의,건축/주택,건축과,조주무관,완료,보통,온라인,수원시,3,2026-04-18 12:31:30,2026-04-30 12:31:30,2026-04-19 12:31:30
2026-102195,화재위험 신고,안전,안전총괄과,강주무관,완료,보통,방문,평택시,,2026-04-18 13:23:22,2026-04-26 13:23:22,2026-04-27 13:23:22
2026-101191,노후축대 점검요청,안전,안전총괄과,이주무관,완료,낮음,전화,용인시,4,2026-04-18 14:32:23,2026-04-26 14:32:23,2026-04-25 14:32:23
2026-101516,불법 주정차 신고,도로/교통,도로관리과,김주무관,완료,높음,방문,부천시,5,2026-04-18 14:43:40,2026-04-25 14:43:40,2026-05-01 14:43:40
2026-103024,소음 공해 민원,환경,환경관리과,윤주무관,완료,보통,방문,수원시,5,2026-04-18 15:36:12,2026-04-27 15:36:12,2026-04-25 15:36:12
2026-102571,행정서류 재발급,행정,민원행정과,조주무관,보류,높음,전화,안성시,,2026-04-19 09:26:22,2026-04-22 09:26:22,
2026-102324,행정서류 재발급,행정,민원행정과,최주무관,완료,보통,방문,구리시,4,2026-04-19 09:47:51,2026-04-22 09:47:51,2026-04-23 09:47:51
2026-103031,주택 누수 하자,건축/주택,건축과,최주무관,완료,보통,온라인,평택시,5,2026-04-19 10:14:32,2026-05-01 10:14:32,2026-05-13 10:14:32
2026-100503,신호등 고장 신고,도로/교통,도로관리과,박주무관,완료,보통,온라인,평택시,,2026-04-19 12:40:01,2026-04-26 12:40:01,2026-04-24 12:40:01
2026-100265,악취 발생 신고,환경,환경관리과,최주무관,완료,낮음,전화,시흥시,5,2026-04-19 14:05:42,2026-04-28 14:05:42,2026-04-26 14:05:42
2026-101791,불법 주정차 신고,도로/교통,도로관리과,조주무관,완료,높음,전화,성남시,4,2026-04-19 16:30:08,2026-04-26 16:30:08,2026-04-20 16:30:08
2026-101784,악취 발생 신고,환경,환경관리과,조주무관,완료,낮음,전화,성남시,4,2026-04-19 20:14:27,2026-04-28 20:14:27,2026-04-20 20:14:27
2026-102509,불법건축물 신고,건축/주택,건축과,김주무관,완료,보통,온라인,고양시,,2026-04-20 07:27:11,2026-05-02 07:27:11,2026-04-30 07:27:11
2026-101559,장애인 편의 요청,복지,사회복지과,조주무관,완료,보통,이메일,의왕시,5,2026-04-20 09:24:11,2026-04-26 09:24:11,2026-04-25 09:24:11
2026-100235,화재위험 신고,안전,안전총괄과,조주무관,완료,보통,온라인,용인시,,2026-04-20 09:54:02,2026-04-28 09:54:02,2026-04-29 09:54:02
2026-101103,화재위험 신고,안전,안전총괄과,박주무관,처리중,보통,이메일,고양시,,2026-04-20 11:00:27,2026-04-28 11:00:27,
2026-103315,쓰레기 무단투기,환경,환경관리과,박주무관,접수,낮음,온라인,고양시,,2026-04-20 11:22:00,2026-04-29 11:22:00,
2026-101258,증명서 발급 문의,행정,민원행정과,강주무관,완료,높음,온라인,부천시,3,2026-04-20 11:36:07,2026-04-23 11:36:07,2026-04-22 11:36:07
2026-100070,쓰레기 무단투기,환경,환경관리과,최주무관,완료,낮음,전화,가평군,4,2026-04-20 12:30:22,2026-04-29 12:30:22,2026-04-26 12:30:22
2026-101167,신호등 고장 신고,도로/교통,도로관리과,조주무관,접수,보통,전화,수원시,,2026-04-20 15:24:54,2026-04-27 15:24:54,
2026-102652,불법 주정차 신고,도로/교통,도로관리과,김주무관,처리중,보통,전화,용인시,,2026-04-20 15:26:19,2026-04-27 15:26:19,
2026-100654,주택 누수 하자,건축/주택,건축과,윤주무관,완료,높음,이메일,군포시,3,2026-04-20 17:14:14,2026-05-02 17:14:14,2026-05-08 17:14:14
2026-100762,불법 주정차 신고,도로/교통,도로관리과,윤주무관,완료,보통,방문,광주시,5,2026-04-20 17:43:19,2026-04-27 17:43:19,2026-04-29 17:43:19
2026-103875,주택 누수 하자,건축/주택,건축과,정주무관,완료,낮음,방문,화성시,,2026-04-21 04:59:34,2026-05-03 04:59:34,2026-04-25 04:59:34
2026-100404,복지급여 문의,복지,사회복지과,조주무관,완료,보통,방문,평택시,4,2026-04-21 08:05:30,2026-04-27 08:05:30,2026-04-28 08:05:30
2026-102419,화재위험 신고,안전,안전총괄과,박주무관,완료,높음,이메일,수원시,5,2026-04-21 14:26:16,2026-04-29 14:26:16,2026-04-24 14:26:16
2026-100935,민원처리 지연 항의,행정,민원행정과,조주무관,완료,보통,방문,고양시,3,2026-04-21 15:05:11,2026-04-24 15:05:11,2026-04-24 15:05:11
2026-100534,행정서류 재발급,행정,민원행정과,윤주무관,보류,낮음,전화,평택시,,2026-04-21 15:06:07,2026-04-24 15:06:07,
2026-103995,불법 주정차 신고,도로/교통,도로관리과,이주무관,완료,보통,이메일,이천시,4,2026-04-21 15:39:50,2026-04-28 15:39:50,2026-04-27 15:39:50
2026-100510,쓰레기 무단투기,환경,환경관리과,강주무관,보류,낮음,전화,하남시,,2026-04-21 16:46:58,2026-04-30 16:46:58,
2026-101307,소음 공해 민원,환경,환경관리과,조주무관,접수,보통,전화,시흥시,,2026-04-21 17:00:23,2026-04-30 17:00:23,
2026-103760,도로 파손 신고,도로/교통,도로관리과,강주무관,접수,보통,온라인,오산시,,2026-04-21 17:33:28,2026-04-28 17:33:28,
2026-102401,복지급여 문의,복지,사회복지과,조주무관,처리중,보통,방문,용인시,,2026-04-21 17:43:46,2026-04-27 17:43:46,
2026-102162,복지급여 문의,복지,사회복지과,조주무관,접수,높음,방문,수원시,,2026-04-21 18:33:25,2026-04-27 18:33:25,
2026-103088,화재위험 신고,안전,안전총괄과,윤주무관,처리중,낮음,온라인,부천시,,2026-04-21 23:57:46,2026-04-29 23:57:46,
2026-103963,불법 주정차 신고,도로/교통,도로관리과,김주무관,완료,낮음,전화,동두천시,3,2026-04-22 05:19:58,2026-04-29 05:19:58,2026-04-23 05:19:58
2026-101572,증명서 발급 문의,행정,민원행정과,정주무관,완료,보통,이메일,안양시,2,2026-04-22 09:12:11,2026-04-25 09:12:11,2026-04-23 09:12:11
2026-102867,노인돌봄 신청,복지,사회복지과,최주무관,완료,보통,방문,의정부시,5,2026-04-22 09:58:49,2026-04-28 09:58:49,2026-04-24 09:58:49
2026-100075,신호등 고장 신고,도로/교통,도로관리과,박주무관,처리중,보통,온라인,고양시,,2026-04-22 10:26:36,2026-04-29 10:26:36,
2026-102729,증명서 발급 문의,행정,민원행정과,강주무관,처리중,보통,이메일,성남시,,2026-04-22 10:29:51,2026-04-25 10:29:51,
2026-103676,불법건축물 신고,건축/주택,건축과,정주무관,처리중,낮음,온라인,용인시,,2026-04-22 10:38:09,2026-05-04 10:38:09,
2026-103609,증명서 발급 문의,행정,민원행정과,조주무관,처리중,낮음,온라인,안산시,,2026-04-22 10:44:16,2026-04-25 10:44:16,
2026-102657,신호등 고장 신고,도로/교통,도로관리과,박주무관,반려,보통,온라인,용인시,,2026-04-22 10:49:41,2026-04-29 10:49:41,
2026-101695,신호등 고장 신고,도로/교통,도로관리과,정주무관,완료,보통,온라인,양평군,4,2026-04-22 11:00:30,2026-04-29 11:00:30,2026-05-05 11:00:30
2026-103799,신호등 고장 신고,도로/교통,도로관리과,윤주무관,완료,보통,전화,수원시,5,2026-04-22 11:23:27,2026-04-29 11:23:27,2026-04-24 11:23:27
2026-101183,도로 파손 신고,도로/교통,도로관리과,김주무관,접수,보통,이메일,안양시,,2026-04-22 15:35:17,2026-04-29 15:35:17,
2026-102094,노후축대 점검요청,안전,안전총괄과,이주무관,반려,보통,방문,안산시,,2026-04-22 18:49:57,2026-04-30 18:49:57,
2026-100979,장애인 편의 요청,복지,사회복지과,박주무관,완료,보통,온라인,파주시,3,2026-04-23 03:56:23,2026-04-29 03:56:23,2026-04-30 03:56:23
2026-102655,주택 누수 하자,건축/주택,건축과,김주무관,완료,보통,온라인,구리시,5,2026-04-23 09:17:00,2026-05-05 09:17:00,2026-05-16 09:17:00
2026-100926,도로 파손 신고,도로/교통,도로관리과,박주무관,완료,낮음,전화,안양시,,2026-04-23 09:55:00,2026-04-30 09:55:00,2026-04-28 09:55:00
2026-101017,불법건축물 신고,건축/주택,건축과,최주무관,완료,보통,전화,용인시,5,2026-04-23 10:05:47,2026-05-05 10:05:47,2026-04-26 10:05:47
2026-101729,노후축대 점검요청,안전,안전총괄과,정주무관,완료,보통,온라인,고양시,3,2026-04-23 10:31:25,2026-05-01 10:31:25,2026-04-27 10:31:25
2026-101779,불법 주정차 신고,도로/교통,도로관리과,최주무관,처리중,높음,이메일,남양주시,,2026-04-23 10:42:56,2026-04-30 10:42:56,
2026-100768,불법 주정차 신고,도로/교통,도로관리과,강주무관,처리중,보통,방문,수원시,,2026-04-23 11:01:44,2026-04-30 11:01:44,
2026-100942,신호등 고장 신고,도로/교통,도로관리과,강주무관,완료,높음,온라인,포천시,5,2026-04-23 11:24:42,2026-04-30 11:24:42,2026-05-02 11:24:42
2026-100718,도서관 운영 건의,문화/체육,문화체육과,최주무관,접수,보통,전화,하남시,,2026-04-23 12:22:38,2026-04-28 12:22:38,
2026-103019,신호등 고장 신고,도로/교통,도로관리과,강주무관,완료,보통,방문,안산시,5,2026-04-23 12:23:53,2026-04-30 12:23:53,2026-04-28 12:23:53
2026-100441,화재위험 신고,안전,안전총괄과,박주무관,처리중,보통,방문,고양시,,2026-04-23 15:06:52,2026-05-01 15:06:52,
2026-101587,복지급여 문의,복지,사회복지과,윤주무관,완료,보통,방문,파주시,,2026-04-23 15:26:27,2026-04-29 15:26:27,2026-05-01 15:26:27
2026-101014,도로 파손 신고,도로/교통,도로관리과,이주무관,완료,보통,방문,수원시,4,2026-04-23 18:02:34,2026-04-30 18:02:34,2026-04-29 18:02:34
2026-100161,장애인 편의 요청,복지,사회복지과,김주무관,완료,높음,온라인,용인시,3,2026-04-24 00:24:15,2026-04-30 00:24:15,2026-04-30 00:24:15
2026-101477,화재위험 신고,안전,안전총괄과,최주무관,접수,높음,이메일,김포시,,2026-04-24 09:03:11,2026-05-02 09:03:11,
2026-100226,증명서 발급 문의,행정,민원행정과,정주무관,완료,낮음,온라인,고양시,5,2026-04-24 10:38:38,2026-04-27 10:38:38,2026-04-29 10:38:38
2026-100618,복지급여 문의,복지,사회복지과,조주무관,접수,보통,방문,과천시,,2026-04-24 11:10:50,2026-04-30 11:10:50,
2026-101119,불법 주정차 신고,도로/교통,도로관리과,김주무관,처리중,낮음,이메일,안양시,,2026-04-24 11:40:42,2026-05-01 11:40:42,
2026-103195,신호등 고장 신고,도로/교통,도로관리과,박주무관,완료,보통,온라인,수원시,5,2026-04-24 11:41:11,2026-05-01 11:41:11,2026-05-06 11:41:11
2026-102919,화재위험 신고,안전,안전총괄과,윤주무관,완료,높음,전화,안양시,4,2026-04-24 11:54:29,2026-05-02 11:54:29,2026-05-04 11:54:29
2026-102023,노후축대 점검요청,안전,안전총괄과,정주무관,완료,높음,온라인,오산시,3,2026-04-24 12:22:54,2026-05-02 12:22:54,2026-05-10 12:22:54
2026-101065,주택 누수 하자,건축/주택,건축과,정주무관,완료,낮음,온라인,고양시,,2026-04-24 13:39:42,2026-05-06 13:39:42,2026-05-01 13:39:42
2026-101983,소음 공해 민원,환경,환경관리과,이주무관,완료,보통,이메일,성남시,4,2026-04-24 14:03:29,2026-05-03 14:03:29,2026-04-25 14:03:29
2026-103409,소음 공해 민원,환경,환경관리과,조주무관,완료,보통,이메일,안양시,5,2026-04-24 15:28:42,2026-05-03 15:28:42,2026-04-26 15:28:42
2026-103743,문화행사 문의,문화/체육,문화체육과,강주무관,완료,보통,이메일,광주시,3,2026-04-24 16:14:11,2026-04-29 16:14:11,2026-05-01 16:14:11
2026-100767,체육시설 예약,문화/체육,문화체육과,최주무관,접수,보통,온라인,고양시,,2026-04-24 16:35:59,2026-04-29 16:35:59,
2026-102977,민원처리 지연 항의,행정,민원행정과,강주무관,처리중,높음,전화,과천시,,2026-04-24 19:36:44,2026-04-27 19:36:44,
2026-103778,화재위험 신고,안전,안전총괄과,강주무관,완료,보통,전화,수원시,3,2026-04-25 07:53:11,2026-05-03 07:53:11,2026-04-30 07:53:11
2026-101908,행정서류 재발급,행정,민원행정과,이주무관,완료,높음,방문,용인시,1,2026-04-25 08:50:09,2026-04-28 08:50:09,2026-04-26 08:50:09
2026-102822,건축허가 문의,건축/주택,건축과,이주무관,완료,높음,온라인,부천시,4,2026-04-25 10:17:32,2026-05-07 10:17:32,2026-05-02 10:17:32
2026-101522,복지급여 문의,복지,사회복지과,이주무관,처리중,보통,방문,의정부시,,2026-04-25 12:10:42,2026-05-01 12:10:42,
2026-100224,불법건축물 신고,건축/주택,건축과,윤주무관,완료,보통,이메일,화성시,4,2026-04-25 14:43:09,2026-05-07 14:43:09,2026-04-27 14:43:09
2026-101297,주택 누수 하자,건축/주택,건축과,윤주무관,처리중,보통,온라인,여주시,,2026-04-25 15:31:46,2026-05-07 15:31:46,
2026-102335,문화행사 문의,문화/체육,문화체육과,박주무관,보류,높음,온라인,수원시,,2026-04-25 15:33:35,2026-04-30 15:33:35,
2026-102759,불법 주정차 신고,도로/교통,도로관리과,박주무관,완료,보통,전화,수원시,4,2026-04-25 15:40:04,2026-05-02 15:40:04,2026-05-06 15:40:04
2026-100008,악취 발생 신고,환경,환경관리과,이주무관,완료,보통,이메일,부천시,5,2026-04-25 15:55:07,2026-05-04 15:55:07,2026-04-28 15:55:07
2026-101894,소음 공해 민원,환경,환경관리과,박주무관,완료,보통,온라인,이천시,,2026-04-25 15:58:15,2026-05-04 15:58:15,2026-05-01 15:58:15
2026-101356,쓰레기 무단투기,환경,환경관리과,박주무관,처리중,높음,방문,고양시,,2026-04-25 17:36:42,2026-05-04 17:36:42,
2026-103811,소음 공해 민원,환경,환경관리과,김주무관,완료,낮음,이메일,수원시,2,2026-04-26 10:13:03,2026-05-05 10:13:03,2026-05-12 10:13:03
2026-102397,악취 발생 신고,환경,환경관리과,조주무관,처리중,보통,전화,안성시,,2026-04-26 10:26:00,2026-05-05 10:26:00,
2026-101389,복지급여 문의,복지,사회복지과,이주무관,완료,보통,이메일,수원시,2,2026-04-26 11:09:48,2026-05-02 11:09:48,2026-05-03 11:09:48
2026-103923,불법 주정차 신고,도로/교통,도로관리과,조주무관,완료,높음,온라인,과천시,3,2026-04-26 16:26:32,2026-05-03 16:26:32,2026-05-03 16:26:32
2026-101642,쓰레기 무단투기,환경,환경관리과,김주무관,처리중,보통,방문,수원시,,2026-04-27 07:23:12,2026-05-06 07:23:12,
2026-102030,민원처리 지연 항의,행정,민원행정과,윤주무관,완료,보통,전화,부천시,3,2026-04-27 11:39:30,2026-04-30 11:39:30,2026-04-30 11:39:30
2026-102784,주택 누수 하자,건축/주택,건축과,조주무관,완료,보통,온라인,오산시,3,2026-04-27 11:57:50,2026-05-09 11:57:50,2026-04-30 11:57:50
2026-101219,재난위험시설 신고,안전,안전총괄과,강주무관,완료,보통,온라인,용인시,4,2026-04-27 12:35:35,2026-05-05 12:35:35,2026-05-09 12:35:35
2026-102792,소음 공해 민원,환경,환경관리과,최주무관,완료,높음,이메일,성남시,3,2026-04-27 12:59:57,2026-05-06 12:59:57,2026-05-05 12:59:57
2026-103798,장애인 편의 요청,복지,사회복지과,정주무관,완료,높음,온라인,하남시,5,2026-04-27 14:42:16,2026-05-03 14:42:16,2026-05-04 14:42:16
2026-103254,불법건축물 신고,건축/주택,건축과,강주무관,완료,보통,방문,안양시,4,2026-04-27 15:34:17,2026-05-09 15:34:17,2026-05-09 15:34:17
2026-102791,신호등 고장 신고,도로/교통,도로관리과,정주무관,완료,보통,온라인,하남시,1,2026-04-27 15:51:08,2026-05-04 15:51:08,2026-05-05 15:51:08
2026-103801,건축허가 문의,건축/주택,건축과,정주무관,완료,보통,온라인,안양시,5,2026-04-27 18:26:52,2026-05-09 18:26:52,2026-04-29 18:26:52
2026-100216,도서관 운영 건의,문화/체육,문화체육과,박주무관,완료,낮음,방문,광명시,,2026-04-27 20:50:26,2026-05-02 20:50:26,2026-05-07 20:50:26
2026-102905,소음 공해 민원,환경,환경관리과,정주무관,처리중,보통,방문,포천시,,2026-04-28 08:25:44,2026-05-07 08:25:44,
2026-103715,장애인 편의 요청,복지,사회복지과,최주무관,완료,보통,방문,고양시,3,2026-04-28 10:03:32,2026-05-04 10:03:32,2026-05-06 10:03:32
2026-103990,장애인 편의 요청,복지,사회복지과,정주무관,완료,높음,전화,고양시,5,2026-04-28 11:18:59,2026-05-04 11:18:59,2026-04-30 11:18:59
2026-100731,노후축대 점검요청,안전,안전총괄과,최주무관,완료,보통,온라인,구리시,5,2026-04-28 12:03:27,2026-05-06 12:03:27,2026-05-06 12:03:27
2026-102586,노인돌봄 신청,복지,사회복지과,강주무관,완료,높음,방문,광주시,5,2026-04-28 12:45:50,2026-05-04 12:45:50,2026-05-01 12:45:50
2026-102924,체육시설 예약,문화/체육,문화체육과,김주무관,완료,높음,방문,의왕시,5,2026-04-28 12:49:35,2026-05-03 12:49:35,2026-05-05 12:49:35
2026-102112,소음 공해 민원,환경,환경관리과,강주무관,완료,보통,방문,고양시,5,2026-04-28 13:21:01,2026-05-07 13:21:01,2026-05-07 13:21:01
2026-101777,복지급여 문의,복지,사회복지과,조주무관,완료,보통,온라인,고양시,5,2026-04-28 16:15:39,2026-05-04 16:15:39,2026-04-30 16:15:39
2026-103927,건축허가 문의,건축/주택,건축과,이주무관,처리중,보통,이메일,포천시,,2026-04-28 17:24:15,2026-05-10 17:24:15,
2026-101850,불법 주정차 신고,도로/교통,도로관리과,강주무관,접수,보통,온라인,군포시,,2026-04-29 00:26:20,2026-05-06 00:26:20,
2026-101963,도로 파손 신고,도로/교통,도로관리과,이주무관,완료,보통,온라인,화성시,,2026-04-29 03:05:26,2026-05-06 03:05:26,2026-05-06 03:05:26
2026-103389,불법 주정차 신고,도로/교통,도로관리과,김주무관,완료,보통,방문,가평군,5,2026-04-29 08:32:08,2026-05-06 08:32:08,2026-05-05 08:32:08
2026-100496,복지급여 문의,복지,사회복지과,윤주무관,완료,높음,이메일,의왕시,5,2026-04-29 11:15:41,2026-05-05 11:15:41,2026-05-11 11:15:41
2026-102840,문화행사 문의,문화/체육,문화체육과,김주무관,완료,보통,온라인,광주시,3,2026-04-29 11:20:15,2026-05-04 11:20:15,2026-05-06 11:20:15
2026-101116,주택 누수 하자,건축/주택,건축과,최주무관,완료,보통,방문,수원시,3,2026-04-29 12:59:04,2026-05-11 12:59:04,2026-05-03 12:59:04
2026-101936,장애인 편의 요청,복지,사회복지과,정주무관,처리중,보통,온라인,성남시,,2026-04-29 16:29:54,2026-05-05 16:29:54,
2026-103727,도로 파손 신고,도로/교통,도로관리과,최주무관,처리중,보통,이메일,안성시,,2026-04-29 17:39:20,2026-05-06 17:39:20,
2026-100566,노인돌봄 신청,복지,사회복지과,윤주무관,완료,낮음,방문,수원시,4,2026-04-29 20:35:02,2026-05-05 20:35:02,2026-05-06 20:35:02
2026-103788,문화행사 문의,문화/체육,문화체육과,강주무관,처리중,낮음,전화,고양시,,2026-04-30 04:07:23,2026-05-05 04:07:23,
2026-100392,민원처리 지연 항의,행정,민원행정과,조주무관,완료,보통,온라인,광주시,1,2026-04-30 09:02:12,2026-05-03 09:02:12,2026-05-01 09:02:12
2026-100245,도로 파손 신고,도로/교통,도로관리과,정주무관,완료,낮음,이메일,여주시,,2026-04-30 09:25:23,2026-05-07 09:25:23,2026-05-10 09:25:23
2026-102593,증명서 발급 문의,행정,민원행정과,윤주무관,처리중,보통,방문,의왕시,,2026-04-30 09:38:38,2026-05-03 09:38:38,
2026-101312,민원처리 지연 항의,행정,민원행정과,이주무관,처리중,보통,온라인,광주시,,2026-04-30 10:38:21,2026-05-03 10:38:21,
2026-103386,불법 주정차 신고,도로/교통,도로관리과,정주무관,반려,낮음,이메일,여주시,,2026-04-30 10:40:48,2026-05-07 10:40:48,
2026-101181,소음 공해 민원,환경,환경관리과,이주무관,처리중,보통,온라인,성남시,,2026-04-30 11:03:15,2026-05-09 11:03:15,
2026-102258,주택 누수 하자,건축/주택,건축과,최주무관,접수,보통,온라인,광명시,,2026-04-30 11:05:33,2026-05-12 11:05:33,
2026-100563,재난위험시설 신고,안전,안전총괄과,정주무관,처리중,보통,전화,군포시,,2026-04-30 12:13:38,2026-05-08 12:13:38,
2026-100301,악취 발생 신고,환경,환경관리과,강주무관,완료,보통,방문,수원시,2,2026-04-30 12:31:07,2026-05-09 12:31:07,2026-05-16 12:31:07
2026-100782,노후축대 점검요청,안전,안전총괄과,윤주무관,완료,낮음,이메일,용인시,2,2026-04-30 12:32:54,2026-05-08 12:32:54,2026-05-10 12:32:54
2026-100095,신호등 고장 신고,도로/교통,도로관리과,조주무관,완료,높음,온라인,포천시,4,2026-04-30 13:37:35,2026-05-07 13:37:35,2026-05-08 13:37:35
2026-100089,불법건축물 신고,건축/주택,건축과,김주무관,완료,보통,이메일,화성시,,2026-04-30 13:51:11,2026-05-12 13:51:11,2026-05-03 13:51:11
2026-102449,소음 공해 민원,환경,환경관리과,윤주무관,처리중,보통,전화,수원시,,2026-04-30 14:28:31,2026-05-09 14:28:31,
2026-101816,소음 공해 민원,환경,환경관리과,이주무관,완료,낮음,온라인,수원시,3,2026-04-30 15:56:41,2026-05-09 15:56:41,2026-05-02 15:56:41
2026-102381,도로 파손 신고,도로/교통,도로관리과,조주무관,완료,보통,전화,성남시,3,2026-04-30 19:21:43,2026-05-07 19:21:43,2026-05-11 19:21:43
2026-102702,소음 공해 민원,환경,환경관리과,최주무관,완료,보통,온라인,파주시,4,2026-05-01 08:14:05,2026-05-10 08:14:05,2026-05-09 08:14:05
2026-100246,불법 주정차 신고,도로/교통,도로관리과,이주무관,반려,보통,방문,수원시,,2026-05-01 08:54:53,2026-05-08 08:54:53,
2026-100256,민원처리 지연 항의,행정,민원행정과,김주무관,완료,보통,방문,고양시,5,2026-05-01 09:00:44,2026-05-04 09:00:44,2026-05-07 09:00:44
2026-103860,쓰레기 무단투기,환경,환경관리과,박주무관,반려,높음,온라인,부천시,,2026-05-01 09:23:38,2026-05-10 09:23:38,
